day,ID,treatment,cage,start_number,dead,alive,percent_survived,cycle
1,Control_1,Control,1,28,1,27,0.964285714,2
1,Control_2,Control,2,28,0,28,1,2
1,Control_3,Control,3,28,1,27,0.964285714,2
1,Control_4,Control,4,28,0,28,1,2
1,Copper_low_1,Low Copper,1,28,0,28,1,2
1,Copper_low_2,Low Copper,2,28,3,25,0.892857143,2
1,Copper_low_3,Low Copper,3,28,0,28,1,2
1,Copper_low_4,Low Copper,4,28,1,27,0.964285714,2
1,Copper_high_1,High Copper,1,28,2,26,0.928571429,2
1,Copper_high_2,High Copper,2,28,1,27,0.964285714,2
1,Copper_high_3,High Copper,3,28,2,26,0.928571429,2
1,Copper_high_4,High Copper,4,28,1,27,0.964285714,2
1,No microbiome_1,No microbiome,1,28,0,28,1,2
1,No microbiome_2,No microbiome,2,28,0,28,1,2
1,No microbiome_3,No microbiome,3,28,0,28,1,2
1,No microbiome_4,No microbiome,4,28,1,27,0.964285714,2
2,Control_1,Control,1,28,1,27,0.964285714,2
2,Control_2,Control,2,28,1,27,0.964285714,2
2,Control_3,Control,3,28,1,27,0.964285714,2
2,Control_4,Control,4,28,0,28,1,2
2,Copper_low_1,Low Copper,1,28,0,28,1,2
2,Copper_low_2,Low Copper,2,28,3,25,0.892857143,2
2,Copper_low_3,Low Copper,3,28,0,28,1,2
2,Copper_low_4,Low Copper,4,28,1,27,0.964285714,2
2,Copper_high_1,High Copper,1,28,2,26,0.928571429,2
2,Copper_high_2,High Copper,2,28,1,27,0.964285714,2
2,Copper_high_3,High Copper,3,28,3,25,0.892857143,2
2,Copper_high_4,High Copper,4,28,1,27,0.964285714,2
2,No microbiome_1,No microbiome,1,28,0,28,1,2
2,No microbiome_2,No microbiome,2,28,1,27,0.964285714,2
2,No microbiome_3,No microbiome,3,28,0,28,1,2
2,No microbiome_4,No microbiome,4,28,1,27,0.964285714,2
3,Control_1,Control,1,28,1,27,0.964285714,2
3,Control_2,Control,2,28,1,27,0.964285714,2
3,Control_3,Control,3,28,2,26,0.928571429,2
3,Control_4,Control,4,28,0,28,1,2
3,Copper_low_1,Low Copper,1,28,1,27,0.964285714,2
3,Copper_low_2,Low Copper,2,28,3,25,0.892857143,2
3,Copper_low_3,Low Copper,3,28,0,28,1,2
3,Copper_low_4,Low Copper,4,28,1,27,0.964285714,2
3,Copper_high_1,High Copper,1,28,2,26,0.928571429,2
3,Copper_high_2,High Copper,2,28,1,27,0.964285714,2
3,Copper_high_3,High Copper,3,28,3,25,0.892857143,2
3,Copper_high_4,High Copper,4,28,2,26,0.928571429,2
3,No microbiome_1,No microbiome,1,28,0,28,1,2
3,No microbiome_2,No microbiome,2,28,2,26,0.928571429,2
3,No microbiome_3,No microbiome,3,28,0,28,1,2
3,No microbiome_4,No microbiome,4,28,2,26,0.928571429,2
4,Control_1,Control,1,28,2,26,0.928571429,2
4,Control_2,Control,2,28,1,27,0.964285714,2
4,Control_3,Control,3,28,2,26,0.928571429,2
4,Control_4,Control,4,28,0,28,1,2
4,Copper_low_1,Low Copper,1,28,2,26,0.928571429,2
4,Copper_low_2,Low Copper,2,28,3,25,0.892857143,2
4,Copper_low_3,Low Copper,3,28,0,28,1,2
4,Copper_low_4,Low Copper,4,28,1,27,0.964285714,2
4,Copper_high_1,High Copper,1,28,2,26,0.928571429,2
4,Copper_high_2,High Copper,2,28,1,27,0.964285714,2
4,Copper_high_3,High Copper,3,28,3,25,0.892857143,2
4,Copper_high_4,High Copper,4,28,2,26,0.928571429,2
4,No microbiome_1,No microbiome,1,28,1,27,0.964285714,2
4,No microbiome_2,No microbiome,2,28,5,23,0.821428571,2
4,No microbiome_3,No microbiome,3,28,0,28,1,2
4,No microbiome_4,No microbiome,4,28,2,26,0.928571429,2
5,Control_1,Control,1,28,2,26,0.928571429,2
5,Control_2,Control,2,28,1,27,0.964285714,2
5,Control_3,Control,3,28,3,25,0.892857143,2
5,Control_4,Control,4,28,1,27,0.964285714,2
5,Copper_low_1,Low Copper,1,28,2,26,0.928571429,2
5,Copper_low_2,Low Copper,2,28,4,24,0.857142857,2
5,Copper_low_3,Low Copper,3,28,0,28,1,2
5,Copper_low_4,Low Copper,4,28,1,27,0.964285714,2
5,Copper_high_1,High Copper,1,28,2,26,0.928571429,2
5,Copper_high_2,High Copper,2,28,1,27,0.964285714,2
5,Copper_high_3,High Copper,3,28,3,25,0.892857143,2
5,Copper_high_4,High Copper,4,28,3,25,0.892857143,2
5,No microbiome_1,No microbiome,1,28,1,27,0.964285714,2
5,No microbiome_2,No microbiome,2,28,8,20,0.714285714,2
5,No microbiome_3,No microbiome,3,28,1,27,0.964285714,2
5,No microbiome_4,No microbiome,4,28,4,24,0.857142857,2
6,Control_1,Control,1,28,4,24,0.857142857,2
6,Control_2,Control,2,28,4,24,0.857142857,2
6,Control_3,Control,3,28,7,21,0.75,2
6,Control_4,Control,4,28,6,22,0.785714286,2
6,Copper_low_1,Low Copper,1,28,2,26,0.928571429,2
6,Copper_low_2,Low Copper,2,28,4,24,0.857142857,2
6,Copper_low_3,Low Copper,3,28,0,28,1,2
6,Copper_low_4,Low Copper,4,28,1,27,0.964285714,2
6,Copper_high_1,High Copper,1,28,6,22,0.785714286,2
6,Copper_high_2,High Copper,2,28,2,26,0.928571429,2
6,Copper_high_3,High Copper,3,28,4,24,0.857142857,2
6,Copper_high_4,High Copper,4,28,3,25,0.892857143,2
6,No microbiome_1,No microbiome,1,28,2,26,0.928571429,2
6,No microbiome_2,No microbiome,2,28,8,20,0.714285714,2
6,No microbiome_3,No microbiome,3,28,1,27,0.964285714,2
6,No microbiome_4,No microbiome,4,28,10,18,0.642857143,2
