X-OTU-ID,C1-C1-1,C1-C1-2,C1-C1-3,C1-C1-4,C1-C1-5,C1-C2-1,C1-C2-2,C1-C2-3,C1-C2-4,C1-C4-1,C1-C4-2,C1-C4-3,C1-C4-4,C1-H1-1,C1-H1-2,C1-H1-3,C1-H1-4,C1-H1-5,C1-H2-1,C1-H2-2,C1-H2-3,C1-H3-1,C1-H3-2,C1-H3-3,C1-H4-1,C1-H4-2,C1-H4-3,C1-H4-3-1,C1-H5-1,C1-H5-2,C1-H5-2-1,C1-L1-1,C1-L1-2,C1-L1-3,C1-L1-4,C1-L1-5,C1-L2-1,C1-L3-1,C1-L3-2,C1-L3-3,C1-L4-1,C1-L4-2,C1-L4-3,C2-C1-1,C2-C1-2,C2-C1-3,C2-C2-1,C2-C2-2,C2-C2-3,C2-C3-1,C2-C3-2,C2-C3-3,C2-C3H,C2-C4-1,C2-C4-2,C2-C4-3,C2-H1-1,C2-H1-2,C2-H1-3,C2-H2-1,C2-H2-2,C2-H2-3,C2-H3-1,C2-H3-2,C2-H3-3,C2-H4-1,C2-H4-2,C2-H4-3,C2-L1-1,C2-L1-2,C2-L1-3,C2-L2-1,C2-L2-2,C2-L2-3,C2-L3-1,C2-L3-2,C2-L3-3,C2-L4-1,C2-L4-2,C2-L4-3,C2-L4-4,C2-N1-1,C2-N1-2,C2-N1-3,C2-N2-1,C2-N2-2,C2-N2-3,C2-N3-1,C2-N3-2,C2-N3-3,C2-N4-1,C2-N4-2,C2-N4-3,PC
1ae69b6731fa239ca41ebed4d5db1bf0,135271,1284,57223,969,3824,38261,5173,201,47,66338,1885,2545,15525,57409,117,734,226390,568,841,1572,733,4248,3390,324406,2820,58038,3780,1125,4136,318,1785,1730,187,426,1574,148353,209,483,222,6908,925,295033,3524,72,2230,3608,992,54,68,113,61361,116813,2500,3805,118449,194,198284,59,13869,111483,696,507,2132,48413,9426,130,45,319,20082,2666,6480,65,32532,155,70,6335,56263,82,50,6794,770,202,699,20426,57384,152,40,1187,275,72,3750,19280,8430,376
cb37b126f1ee59795bd9bf2cb3877776,837,2890,18982,4641,343,71514,31993,17915,7469,1228,8232,37171,3426,822,7365,433,25940,24137,10494,13326,11593,1980,2019,2399,13160,8758,36848,23631,4568,20711,21356,23055,5465,51201,55715,2499,12208,20917,25788,7820,431,4429,8128,26784,27720,10585,8175,5956,9993,17695,15463,88500,17896,22614,24220,5701,14903,30414,5177,10116,37557,23648,10482,4252,4138,27493,62628,36360,4789,26849,1432,7543,3812,4804,11140,3066,9998,8504,20407,51349,3787,12883,24278,5533,11314,15590,9777,6486,33363,7137,6925,1655,20509,162
77927655fbe04b5ec88d62b57fd2761c,803,8014,115430,8481,217,14559,66901,45396,797,7012,9931,63196,8232,2807,26686,451,1284,13979,12861,3100,12252,2422,51277,2240,37710,67918,169366,36893,22770,10712,128159,1387,11636,37386,3762,365,830,13487,15320,29167,67,5021,8393,479,774,2091,2097,95,2235,1170,2531,11576,8557,1662,13274,102,5284,1026,325,2925,4037,0,1305,1326,1910,2099,219,4659,439,1737,180,691,1500,167,0,0,3765,326,1392,9243,530,1287,3080,1402,1655,1643,160,221,3529,784,227,2541,6605,52
e4b217b60de3d844522d385684f73151,6758,5766,26556,129,670,815,1395,27959,5461,3358,4855,33685,1175,1468,35,523,1405,20693,72,2538,2877,1833,22477,59,5343,164,1466,6968,2682,28945,138,416,6915,132611,10429,765,160,8261,18353,8590,1287,1586,26067,1767,4306,602,40,191,857,736,2856,7715,1036,3179,32,865,3561,54,85,12876,12415,4392,2556,2554,3009,5002,3216,10601,236,1946,330,992,183,857,17,1567,8619,1822,14,8496,29,1841,0,4079,5953,51,3574,679,1780,84,754,4035,182,88
cb5aa47ef0146113f230d8d3c2feed51,4418,8369,18403,848,284,8241,27503,17991,918,684,10874,11448,4558,1002,15557,58,13892,16861,5912,16922,2548,7471,342,2604,15597,24659,19199,11556,12792,35439,358,545,873,21375,34781,1049,169,770,9524,40602,336,9316,18290,839,1374,1651,33,0,3525,1861,3625,24219,12079,3644,583,0,4366,1390,578,2688,761,211,538,1065,785,281,184,991,1134,1348,198,18,3151,48,63,202,1172,551,0,47,477,183,0,653,1384,237,215,106,124,183,97,470,0,56
82748667fb6eadeae8f218076dfcd5f6,744,1304,15746,2482,101,16325,11394,5620,1116,413,1812,10003,1201,368,1926,321,3158,7882,3141,4893,2727,4645,1430,2272,3596,4097,14270,1182,2841,4219,6180,6808,2028,14095,5251,1031,3643,3285,2106,6982,118,1673,2255,3478,3836,6121,2210,1867,5093,4198,9568,36610,3450,5906,16234,827,2998,4665,1147,3619,10256,10189,2597,1363,2289,7434,3007,10174,1888,2936,378,1776,4152,2188,2020,1581,4234,878,3749,23244,1879,6999,4514,7705,8320,3637,4578,1192,5218,1722,3832,747,7563,83
6ce50b2cccd0419ebce69a745278759d,660,847,10833,2222,132,36878,7943,2047,687,309,2416,6508,1099,958,1693,381,22468,3739,20566,15785,7914,400,2473,1444,3508,8065,19481,5546,5047,27296,15747,43387,3385,41638,2129,1353,13056,9658,6106,4394,207,2883,953,382,636,89,2426,144,94,1037,423,659,4547,2076,1276,218,1152,738,120,3609,94,63,390,107,43,178,15256,1535,202,250,0,160,1842,28,208,54,2884,141,248,1070,184,350,6198,465,7306,535,115,433,913,941,136,857,22027,46
e16928cfce404ed4ea74c7688cf3158c,326,379,68517,206,328,1176,110773,4800,565,3533,2023,874,191,0,1206,56,769,1594,2309,139,465,4305,38,1351,894,21664,6657,23847,26502,217,191,5152,401,9932,18491,9265,1058,586,2350,9729,796,7546,12799,447,1020,1444,18,8,0,835,4728,9642,345,1862,6010,491,1653,674,487,58,21,7,237,934,1590,79,2039,318,422,631,210,0,74,370,0,114,625,542,33,19,260,46,272,442,5581,18,0,158,625,16,13,8,7,105
0b0cb7a814b14921a5b9a83c66329176,72,777,3234,907,140,18969,4517,1445,674,75,2013,2115,934,0,896,97,1017,4077,1836,1583,1457,466,451,775,2648,2863,4560,2955,920,3534,1922,7065,740,14406,6742,1083,1354,3381,1543,3134,48,935,1715,2307,2960,4217,1517,2193,1353,3883,3008,47698,8380,600,19876,529,1074,4626,1603,995,6613,4822,744,526,850,3343,557,4422,318,2958,218,2517,1467,1636,2061,712,576,963,5119,8638,645,3779,3814,1123,1270,1532,2630,792,3568,990,1053,96,1421,78
b63cb5c8946a6463dc241c0573caa3fd,164,327,2445,721,42,8588,3240,3019,1059,149,1373,3268,1332,448,597,64,8271,1922,1422,1413,1152,337,3755,241,1198,1776,4750,3344,705,1629,1867,4242,894,12726,3296,284,1103,3379,2000,628,108,774,1074,13061,2693,1793,1339,1480,1753,2076,6675,14388,1084,1125,2944,1710,2862,8304,746,1457,6119,1840,488,245,478,6442,7957,6908,817,7707,424,1013,314,234,415,859,3138,4840,2035,5177,426,3551,19395,565,11584,2016,1782,841,3263,1318,1691,276,8697,41
43e91e2d064bfbc51f8d92e67cda4fc1,106,82,46142,8446,0,15898,1817,1259,2389,67,8896,14411,152,0,190,47,201,607,643,36198,21918,42,1446,49,1130,0,5725,8706,132,56732,0,31,813,2325,67,2337,96,197,2437,412,0,0,421,0,76,0,22,24,28,38,517,1340,362,11,0,0,102,12,6,2113,0,5266,143,0,78,0,5,167,3,11,7,7,19,5,2117,630,681,0,25,130,14,737,41,69,465,32,6,55,33,0,14,0,95,26
77d68e212419ad5457422794303175fc,67,303,3124,271,0,9595,4786,542,864,70,1341,3403,490,77,605,75,975,1852,2193,1946,1855,302,755,221,1562,1982,4409,2122,679,3153,3941,9592,1100,20878,4168,764,2593,2183,2494,1193,48,1242,2035,2417,996,2806,913,2364,2599,1908,762,6890,3047,4076,4222,1268,670,4155,546,902,1016,1663,596,327,910,2744,1078,2502,165,3806,260,2359,658,1962,655,193,1112,2016,1487,10494,571,1187,6481,2142,2789,3351,3416,1423,3674,594,930,106,1226,0
1f2b6ec5a835de39d62519edb6578fbf,692,2577,3000,14430,39,1087,844,162,62,67,4474,4398,5038,156,41162,754,532,0,11706,2928,52,5050,320,123,18053,366,9601,1790,257,5265,2625,0,602,50,170,79,42,0,0,19986,0,553,44,0,0,0,0,0,20,57,883,1995,80,2031,6784,0,0,15,14,0,0,0,0,0,0,0,0,0,840,45,150,0,0,0,0,0,744,0,0,49,0,0,0,33,197,1608,0,29,0,0,0,293,0,24
bc78e6d5e6f48a7ca284d07dc5b18448,0,305,43067,50,99,1692,2670,155,45,123,57,5150,517,554,123,110,24465,1811,585,680,103,1497,250,1151,441,12562,730,2388,16617,66,688,1553,356,278,170,311,280,530,1049,2759,143,1612,1066,0,25,13112,40,0,4100,977,0,796,2718,3119,2096,15,130,600,1503,7,0,131,49,1883,605,15,0,40,0,13,0,0,3039,7,0,0,11,0,0,17,776,1127,81,621,193,971,10,24,0,14,1248,0,4463,0
5b3e8447697b9e14376a947fac5b9b8c,638,1205,2425,6629,0,722,706,103,42,57,6142,2768,2030,188,34000,498,497,0,12148,1943,60,2700,288,121,8328,349,6155,4870,176,32895,1381,97,250,0,81,0,47,41,0,20411,27,604,265,12,29,34,0,43,0,0,842,2062,89,1033,7668,16,12,0,0,0,0,0,0,0,0,0,0,0,426,0,56,0,0,0,9,0,319,0,0,0,0,0,0,0,169,694,0,0,0,30,44,330,0,0
