ID	treatment	sampling_time	cagenumber	Origin	cage	treatment_cage	treatment_cycle	cycle
C1-C1-1	Control	Cycle 1	1	Hindgut	cage_1	Control_cage_1	Control_cycle_1	cycle_one
C1-C1-2	Control	Cycle 1	1	Hindgut	cage_1	Control_cage_1	Control_cycle_1	cycle_one
C1-C1-3	Control	Cycle 1	1	Hindgut	cage_1	Control_cage_1	Control_cycle_1	cycle_one
C1-C1-4	Control	Cycle 1	1	Hindgut	cage_1	Control_cage_1	Control_cycle_1	cycle_one
C1-C1-5	Control	Cycle 1	1	Hindgut	cage_1	Control_cage_1	Control_cycle_1	cycle_one
C1-C2-1	Control	Cycle 1	2	Hindgut	cage_2	Control_cage_2	Control_cycle_1	cycle_one
C1-C2-2	Control	Cycle 1	2	Hindgut	cage_2	Control_cage_2	Control_cycle_1	cycle_one
C1-C2-3	Control	Cycle 1	2	Hindgut	cage_2	Control_cage_2	Control_cycle_1	cycle_one
C1-C2-4	Control	Cycle 1	2	Hindgut	cage_2	Control_cage_2	Control_cycle_1	cycle_one
C1-C4-1	Control	Cycle 1	4	Hindgut	cage_4	Control_cage_4	Control_cycle_1	cycle_one
C1-C4-2	Control	Cycle 1	4	Hindgut	cage_4	Control_cage_4	Control_cycle_1	cycle_one
C1-C4-3	Control	Cycle 1	4	Hindgut	cage_4	Control_cage_4	Control_cycle_1	cycle_one
C1-C4-4	Control	Cycle 1	4	Hindgut	cage_4	Control_cage_4	Control_cycle_1	cycle_one
C1-H1-1	High_Copper	Cycle 1	1	Hindgut	cage_1	HighCopper_cage_1	HighCopper_cycle_1	cycle_one
C1-H1-2	High_Copper	Cycle 1	1	Hindgut	cage_1	HighCopper_cage_1	HighCopper_cycle_1	cycle_one
C1-H1-3	High_Copper	Cycle 1	1	Hindgut	cage_1	HighCopper_cage_1	HighCopper_cycle_1	cycle_one
C1-H1-4	High_Copper	Cycle 1	1	Hindgut	cage_1	HighCopper_cage_1	HighCopper_cycle_1	cycle_one
C1-H1-5	High_Copper	Cycle 1	1	Hindgut	cage_1	HighCopper_cage_1	HighCopper_cycle_1	cycle_one
C1-H2-1	High_Copper	Cycle 1	2	Hindgut	cage_2	HighCopper_cage_2	HighCopper_cycle_1	cycle_one
C1-H2-2	High_Copper	Cycle 1	2	Hindgut	cage_2	HighCopper_cage_2	HighCopper_cycle_1	cycle_one
C1-H2-3	High_Copper	Cycle 1	2	Hindgut	cage_2	HighCopper_cage_2	HighCopper_cycle_1	cycle_one
C1-H3-1	High_Copper	Cycle 1	3	Hindgut	cage_3	HighCopper_cage_3	HighCopper_cycle_1	cycle_one
C1-H3-2	High_Copper	Cycle 1	3	Hindgut	cage_3	HighCopper_cage_3	HighCopper_cycle_1	cycle_one
C1-H3-3	High_Copper	Cycle 1	3	Hindgut	cage_3	HighCopper_cage_3	HighCopper_cycle_1	cycle_one
