X-OTU-ID,D0,D1,D2,D3,D4,D5,D6
1ae69b6731fa239ca41ebed4d5db1bf0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Bartonella,uncultured Rhizobiales bacterium
cb37b126f1ee59795bd9bf2cb3877776,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
77927655fbe04b5ec88d62b57fd2761c,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Neisseriaceae,Snodgrassella,NA
e4b217b60de3d844522d385684f73151,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Frischella,uncultured gamma proteobacterium
cb5aa47ef0146113f230d8d3c2feed51,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Bartonella,NA
82748667fb6eadeae8f218076dfcd5f6,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA
6ce50b2cccd0419ebce69a745278759d,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus apis
e16928cfce404ed4ea74c7688cf3158c,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Commensalibacter,Apis mellifera (honey bee)
0b0cb7a814b14921a5b9a83c66329176,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
b63cb5c8946a6463dc241c0573caa3fd,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus helsingborgensis
43e91e2d064bfbc51f8d92e67cda4fc1,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Neisseriaceae,Snodgrassella,uncultured beta proteobacterium
77d68e212419ad5457422794303175fc,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kullabergensis
1f2b6ec5a835de39d62519edb6578fbf,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,uncultured gamma proteobacterium
bc78e6d5e6f48a7ca284d07dc5b18448,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Commensalibacter,Apis mellifera (honey bee)
5b3e8447697b9e14376a947fac5b9b8c,Bacteria,Proteobacteria,Gammaproteobacteria,Orbales,Orbaceae,Gilliamella,uncultured gamma proteobacterium
beaf072c432c32efad46d57a28933064,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
