day,ID,treatment,cage,start_number,dead,alive,percent_survived,cycle
1,Control_1,Control,1,33,1,32,0.96969697,1
1,Control_2,Control,2,30,1,29,0.966666667,1
1,Control_3,Control,3,30,0,30,1,1
1,Control_4,Control,4,30,1,29,0.966666667,1
1,Copper_low_1,Low Copper,1,30,1,29,0.966666667,1
1,Copper_low_2,Low Copper,2,30,0,30,1,1
1,Copper_low_3,Low Copper,3,30,0,30,1,1
1,Copper_low_4,Low Copper,4,30,2,28,0.933333333,1
1,Copper_high_1,High Copper,1,30,0,30,1,1
1,Copper_high_2,High Copper,2,30,0,30,1,1
1,Copper_high_3,High Copper,3,30,0,30,1,1
1,Copper_high_4,High Copper,4,30,0,30,1,1
2,Control_1,Control,1,33,3,30,,1
2,Control_2,Control,2,30,6,24,0.8,1
2,Control_3,Control,3,30,1,29,0.966666667,1
2,Control_4,Control,4,30,2,28,0.933333333,1
2,Copper_low_1,Low Copper,1,30,1,29,0.966666667,1
2,Copper_low_2,Low Copper,2,30,5,25,0.833333333,1
2,Copper_low_3,Low Copper,3,30,3,27,0.9,1
2,Copper_low_4,Low Copper,4,30,4,26,0.866666667,1
2,Copper_high_1,High Copper,1,30,2,28,0.933333333,1
2,Copper_high_2,High Copper,2,30,2,28,0.933333333,1
2,Copper_high_3,High Copper,3,30,3,27,0.9,1
2,Copper_high_4,High Copper,4,30,1,29,0.966666667,1
3,Control_1,Control,1,33,3,30,0.909090909,1
3,Control_2,Control,2,30,6,24,0.8,1
3,Control_3,Control,3,30,6,24,0.8,1
3,Control_4,Control,4,30,2,28,0.933333333,1
3,Copper_low_1,Low Copper,1,30,7,23,0.766666667,1
3,Copper_low_2,Low Copper,2,30,13,17,0.566666667,1
3,Copper_low_3,Low Copper,3,30,8,22,0.733333333,1
3,Copper_low_4,Low Copper,4,30,8,22,0.733333333,1
3,Copper_high_1,High Copper,1,30,2,28,0.933333333,1
3,Copper_high_2,High Copper,2,30,6,24,0.8,1
3,Copper_high_3,High Copper,3,30,3,27,0.9,1
3,Copper_high_4,High Copper,4,30,2,28,0.933333333,1
4,Control_1,Control,1,33,8,25,0.757575758,1
4,Control_2,Control,2,30,13,17,0.566666667,1
4,Control_3,Control,3,30,9,21,0.7,1
4,Control_4,Control,4,30,5,25,0.833333333,1
4,Copper_low_1,Low Copper,1,30,12,18,0.6,1
4,Copper_low_2,Low Copper,2,30,16,14,0.466666667,1
4,Copper_low_3,Low Copper,3,30,9,21,0.7,1
4,Copper_low_4,Low Copper,4,30,11,19,0.633333333,1
4,Copper_high_1,High Copper,1,30,6,24,0.8,1
4,Copper_high_2,High Copper,2,30,11,19,0.633333333,1
4,Copper_high_3,High Copper,3,30,6,24,0.8,1
4,Copper_high_4,High Copper,4,30,8,22,0.733333333,1
5,Control_1,Control,1,33,10,23,0.696969697,1
5,Control_2,Control,2,30,14,16,0.533333333,1
5,Control_3,Control,3,30,16,14,0.466666667,1
5,Control_4,Control,4,30,8,22,0.733333333,1
5,Copper_low_1,Low Copper,1,30,17,13,0.433333333,1
5,Copper_low_2,Low Copper,2,30,17,13,0.433333333,1
5,Copper_low_3,Low Copper,3,30,14,16,0.533333333,1
5,Copper_low_4,Low Copper,4,30,15,15,0.5,1
5,Copper_high_1,High Copper,1,30,7,23,0.766666667,1
5,Copper_high_2,High Copper,2,30,12,18,0.6,1
5,Copper_high_3,High Copper,3,30,6,24,0.8,1
5,Copper_high_4,High Copper,4,30,10,20,0.666666667,1
6,Control_1,Control,1,33,14,19,0.575757576,1
6,Control_2,Control,2,30,15,15,0.5,1
6,Control_3,Control,3,30,22,8,0.266666667,1
6,Control_4,Control,4,30,10,20,0.666666667,1
6,Copper_low_1,Low Copper,1,30,17,13,0.433333333,1
6,Copper_low_2,Low Copper,2,30,18,12,0.4,1
6,Copper_low_3,Low Copper,3,30,15,15,0.5,1
6,Copper_low_4,Low Copper,4,30,18,12,0.4,1
6,Copper_high_1,High Copper,1,30,11,19,0.633333333,1
6,Copper_high_2,High Copper,2,30,12,18,0.6,1
6,Copper_high_3,High Copper,3,30,9,21,0.7,1
6,Copper_high_4,High Copper,4,30,13,17,0.566666667,1
